nid,title_ar,body_summary,target_audience,service_duration,provided_languages,service_channels,service_cost,payment_options,categories,beneficiaries,tags,source_note
480,"إضافة رقم مستورد ضمن منفذ جديد",,"أصحاب الشركات والمستوردين الذين يرغبون في إضافة رقم مستورد ضمن منفذ جديد لتسهيل استقبال الشحنات عبر مواقع جمركية متعددة في المملكة.",,"تتوفر متطلبات إضافة رقم مستورد ضمن منفذ جديد باللغتين العربية والإنجليزية، لخدمة المستثمر والوكلاء الملاحيين ومديري الشركات من مختلف الجنسيات.","تتم الخدمة إلكترونياً عبر منصة ""فسح"" وبالتنسيق مع الجمارك، لضمان ربط بيانات السجل التجاري بـ الخدمات الحكومية المتاحة في المنفذ المختار.",,,"Government Relations Services",,,"summary=empty; audience=ar; duration=empty; languages=ar; channels=ar; cost=empty; payment=empty; categories=ar; beneficiaries=empty; tags=empty"
481,"نقل الخدمات عبر منصة مقيم",,"نساعدك في المرحلة النهائية من نقل الخدمات عبر منصة مقيم لتحديث هوية المقيم ببيانات منشأتك الجديدة.",,"اللغة المقدمة	تتوفر واجهة نقل الخدمات عبر منصة مقيم باللغتين العربية والإنجليزية، لتسهيل متابعة الطلبات من قبل المستثمر والمدير العام لقطاع الشركات.","قنوات تقديم الخدمة	تتم الخدمة رقمياً عبر بوابة ""مقيم"" الإلكترونية، بالتكامل مع مركز المعلومات الوطني لتحديث بيانات الخدمات الحكومية وملفات تأسيس الشركات والنمو.",,,"Government Relations Services",,,"summary=empty; audience=ar; duration=empty; languages=ar; channels=ar; cost=empty; payment=empty; categories=ar; beneficiaries=empty; tags=empty"
482,"توثيق عقود الموظفين في منصة قوى",,"جميع الشركات والمؤسسات التي تسعى لـ توثيق عقود الموظفين في منصة قوى لضمان نظامية العمالة الوافدة والوطنية المسجلة في نظام السجل التجاري.",,"تتوفر خدمة توثيق عقود الموظفين في منصة قوى باللغتين العربية والإنجليزية، لتسهيل فهم الحقوق والواجبات لـ المدير العام والموظفين بكافة جنسياتهم.","تتم الخدمة رقمياً بالكامل عبر حساب المنشأة في منصة ""قوى""، حيث يتم إرسال العقد للموظف لاعتماده وتحديث بيانات إدارة الموظفين والشركات.",,,"HR Services",,,"summary=empty; audience=ar; duration=empty; languages=ar; channels=ar; cost=empty; payment=empty; categories=ar; beneficiaries=empty; tags=empty"
483,"تقرير مقيم الشامل للمنشأة",,"الفئة المستهدفة	أصحاب الشركات ومدراء الموارد البشرية الذين يحتاجون لـ تقرير مقيم الشامل للمنشأة لمتابعة قانونية مئات الموظفين المسجلين تحت رقم السجل التجاري الموحد للمنظمة.",,"اللغة المقدمة	يتوفر تقرير مقيم الشامل للمنشأة باللغتين العربية والإنجليزية، لتقديم عرض تفصيلي لـ المستثمر والمدير العام حول حالة القوى العاملة في الشركات والمنشآت القائمة.","قنوات تقديم الخدمة	يتم إصدار تقرير مقيم الشامل للمنشأة فورياً عبر بوابة ""مقيم"" الرقمية، مما يسهل عملية الربط المعلوماتي مع جهات الخدمات الحكومية ومنصات إدارة الموظفين والشركات.",,,"Government Relations Services",,,"summary=empty; audience=ar; duration=empty; languages=ar; channels=ar; cost=empty; payment=empty; categories=ar; beneficiaries=empty; tags=empty"
484,"تحديث بيانات جواز سفر الموظف",,"الفئة المستهدفة	أصحاب الشركات والمؤسسات التي قامت عمالتها بتجديد جوازات سفرها وترغب في تحديث بيانات جواز سفر الموظف لضمان مطابقتها لسجلات السجل التجاري والجوازات.",,"اللغة المقدمة	تتوفر واجهة خدمة تحديث بيانات جواز سفر الموظف باللغتين العربية والإنجليزية، لخدمة المستثمر والمدير العام في إدارة الكوادر الدولية داخل الشركات.","قنوات تقديم الخدمة	يتم تنفيذ الخدمة رقمياً عبر بوابة ""مقيم"" الإلكترونية، مما يضمن التحديث الفوري في قواعد بيانات الخدمات الحكومية وتسهيل إجراءات إدارة الموظفين والشركات.",,,"Government Relations Services",,,"summary=empty; audience=ar; duration=empty; languages=ar; channels=ar; cost=empty; payment=empty; categories=ar; beneficiaries=empty; tags=empty"
485,"اعتماد لوائح تنظيم العمل (أدلة وسياسات العمل)",,"جميع الشركات التي يتجاوز عدد موظفيها نصاباً معيناً، والراغبة في اعتماد لوائح تنظيم العمل (نموذجية أو مخصصة) لضمان الامتثال لـ الخدمات الحكومية.",,"تتوفر خدمة اعتماد لوائح تنظيم العمل باللغتين العربية والإنجليزية، لضمان وعي كافة أطراف العمل في الشركات بالحقوق والواجبات المنصوص عليها نظاماً.","يتم طلب اعتماد لوائح تنظيم العمل عبر منصة ""قوى"" وبإشراف مكاتب المحاماة المعتمدة، لضمان قانونية السياسات المتبعة في نظام السجل التجاري.",,,"HR Services",,,"summary=empty; audience=ar; duration=empty; languages=ar; channels=ar; cost=empty; payment=empty; categories=ar; beneficiaries=empty; tags=empty"
486,"إدارة الرواتب والتحويل البنكي عبر مدد",,"أصحاب الشركات والمؤسسات الراغبين في تنظيم إدارة الرواتب والتحويل البنكي إلكترونياً لضمان الدقة وتفادي الأخطاء البشرية المرتبطة بـ السجل التجاري والعمل.",,"تتوفر أنظمة إدارة الرواتب والتحويل البنكي باللغتين العربية والإنجليزية، لتسهيل الرقابة المالية لـ المستثمر والمدير العام على ميزانية إدارة الموظفين والشركات.","تتم الخدمة عبر (نظام إدارة الرواتب) في منصة مدد، مع ربط تقني مباشر بين المنشأة والبنوك التجارية وخدمات تأسيس الشركات والخدمات الحكومية.",,,"Government Relations Services",,,"summary=empty; audience=ar; duration=empty; languages=ar; channels=ar; cost=empty; payment=empty; categories=ar; beneficiaries=empty; tags=empty"
487,"إصدار تأشيرات العمل الفورية",,"أصحاب الشركات القائمة والناشئة التي تسعى لـ إصدار تأشيرات العمل الفورية لجلب كفاءات متخصصة تدعم نشاطها المسجل في السجل التجاري والأنظمة.",,"تتوفر واجهة إصدار تأشيرات العمل الفورية باللغتين العربية والإنجليزية، لتسهيل التعامل معها من قبل المستثمر والمدير العام ووكالات التوظيف في الشركات.","تتم الخدمة عبر منصة ""قوى"" الإلكترونية، حيث يتم إصدار تأشيرات العمل الفورية آلياً فور سداد الرسوم الحكومية وتوفر الأهلية في نظام إدارة الموظفين.",,,"Government Relations Services",,,"summary=empty; audience=ar; duration=empty; languages=ar; channels=ar; cost=empty; payment=empty; categories=ar; beneficiaries=empty; tags=empty"
488,"إصدار تقارير الالتزام والمخالفات",,"أصحاب الشركات الذين يسعون لضمان الشفافية الكاملة عبر إصدار تقارير الالتزام والمخالفات لتجنب العقوبات وضمان استمرارية العمل وفق ضوابط السجل التجاري والأنظمة.",,"تتوفر تقارير خدمة إصدار تقارير الالتزام والمخالفات باللغتين العربية والإنجليزية، لتسهيل عرض النتائج على المستثمر والمدير العام ومجلس إدارة الشركات.","يتم طلب إصدار تقارير الالتزام والمخالفات إلكترونياً عبر منصة ""مدد"" (نظام الالتزام)، مع تحديثات لحظية مرتبطة بقواعد بيانات الخدمات الحكومية وإدارة الموظفين.",,,"Government Relations Services",,,"summary=empty; audience=ar; duration=empty; languages=ar; channels=ar; cost=empty; payment=empty; categories=ar; beneficiaries=empty; tags=empty"
489,"إدارة رخص العمل",,"أصحاب الشركات والمؤسسات الذين لديهم عمالة وافدة ويحتاجون إلى إدارة رخص العمل بشكل منتظم لضمان استمرارية صلاحية الإقامات والعمل في السجل التجاري.",,"تتوفر واجهة إدارة رخص العمل باللغتين العربية والإنجليزية، لتسهيل متابعة التكاليف والمدد لـ المدير العام والمستثمر في قطاع الشركات.","تتم الخدمة رقمياً عبر منصة ""قوى""، حيث يتم ربط إصدار الرخصة بسداد المقابل المالي ووزارة الداخلية لضمان تكامل الخدمات الحكومية للمنشأة.",,,"HR Services",,,"summary=empty; audience=ar; duration=empty; languages=ar; channels=ar; cost=empty; payment=empty; categories=ar; beneficiaries=empty; tags=empty"
490,"تغيير المهن للموظفين عبر قوى",,"أصحاب الشركات الذين يرغبون في إجراء تغيير المهن لعمالتهم بما يتناسب مع ترقياتهم أو حاجة العمل المسجلة في نظام السجل التجاري والأنظمة.",,"تتوفر خدمة تغيير المهن باللغتين العربية والإنجليزية، لتمكين المستثمر والمدير العام من متابعة تحديثات ملفات إدارة الموظفين في الشركات بوضوح تام.","يتم تنفيذ طلب تغيير المهن إلكترونياً عبر منصة ""قوى""، مع ضرورة الربط مع الأنظمة التقنية لجهات الخدمات الحكومية ذات العلاقة بالمهن التخصصية.",,,"HR Services",,,"summary=empty; audience=ar; duration=empty; languages=ar; channels=ar; cost=empty; payment=empty; categories=ar; beneficiaries=empty; tags=empty"
491,"ربط الحساب البنكي في منصة مدد",,"أصحاب الشركات والمؤسسات الراغبين في تفعيل ربط الحساب البنكي في منصة مدد لتنظيم صرف الأجور وربطها بالهوية المالية للمنشأة الموثقة في السجل التجاري.",,"تتوفر واجهة ربط الحساب البنكي في منصة مدد باللغتين العربية والإنجليزية، لتسهيل متابعة التدفقات النقدية من قبل المستثمر والمدير العام في قطاع الشركات.","تتم الخدمة رقمياً عبر (نظام إدارة الرواتب) في منصة مدد، بالتكامل مع الأنظمة البنكية السعودية وجهات الخدمات الحكومية لضمان أمان معاملات تأسيس الشركات.",,,"Government Relations Services",,,"summary=empty; audience=ar; duration=empty; languages=ar; channels=ar; cost=empty; payment=empty; categories=ar; beneficiaries=empty; tags=empty"
492,"رفع ملفات حماية الأجور لمنصة مدد",,"أصحاب الشركات الذين قاموا بصرف الرواتب عبر البنك ويرغبون في رفع ملفات حماية الأجور (txt) لتوثيق الالتزام بنظام العمل والسجل التجاري.",,"تتوفر خدمة رفع ملفات حماية الأجور (txt) بدعم كامل للبيانات المسجلة، لتمكين المستثمر والمدير العام من قراءة تقارير الالتزام في الشركات.","تتم الخدمة عبر (نظام الالتزام) في منصة مدد، حيث يتم استقبال الملفات بصيغة txt وتدقيقها آلياً لضمان تحديث بيانات الخدمات الحكومية وإدارة الموظفين.",,,"Government Relations Services",,,"summary=empty; audience=ar; duration=empty; languages=ar; channels=ar; cost=empty; payment=empty; categories=ar; beneficiaries=empty; tags=empty"
493,"المكاتب المجهزة",,,,,,,,"Office space services",,,"summary=empty; audience=empty; duration=empty; languages=empty; channels=empty; cost=empty; payment=empty; categories=ar; beneficiaries=empty; tags=empty"
494,"غرف الاجتماعات",,,,,,300,"التحويل إلى حساب الشركة","Office space services",,,"summary=empty; audience=empty; duration=empty; languages=empty; channels=empty; cost=ar; payment=ar; categories=ar; beneficiaries=empty; tags=empty"
495,"قاعة المؤتمرات",,,,,,"45,000","التحويل إلى حساب الشركة","Office space services",,,"summary=empty; audience=empty; duration=empty; languages=empty; channels=empty; cost=ar; payment=ar; categories=ar; beneficiaries=empty; tags=empty"
496,"خدمات الاستقبال",,,,,,"ابتداءً من 750 ريال سعودي","التحويل إلى حساب الشركة","Office space services",,,"summary=empty; audience=empty; duration=empty; languages=empty; channels=empty; cost=ar; payment=ar; categories=ar; beneficiaries=empty; tags=empty"
497,"العنوان الافتراضي",,,,,,"ابتداءً من 750 ريال سعودي","التحويل إلى حساب الشركة","Office space services",,,"summary=empty; audience=empty; duration=empty; languages=empty; channels=empty; cost=ar; payment=ar; categories=ar; beneficiaries=empty; tags=empty"
498,"نقل خدمات موظف (نقل الكفالة)",,"أصحاب الشركات والمؤسسات الراغبين في إجراء نقل خدمات موظف لضم كفاءات جديدة متواجدة داخل المملكة إلى ملاك سجلهم التجاري القائم.",,"تتوفر واجهة طلب نقل خدمات موظف باللغتين العربية والإنجليزية، لتسهيل فهم الخطوات لـ المستثمر الدولي والمدير العام والشركات والعمالة.","تتم العملية إلكترونياً عبر منصة ""قوى"" التابعة لوزارة الموارد البشرية، لضمان سرعة الربط مع نظام الخدمات الحكومية وتحديث ملفات إدارة الموظفين.",,,"HR Services",,,"summary=empty; audience=ar; duration=empty; languages=ar; channels=ar; cost=empty; payment=empty; categories=ar; beneficiaries=empty; tags=empty"
542,,,,,,,,,"Business Support",,,"summary=empty; audience=empty; duration=empty; languages=empty; channels=empty; cost=empty; payment=empty; categories=en_fallback; beneficiaries=empty; tags=empty"
660,"نقل الخدمات في المملكة العربية السعودية | حلول الكوادر | متعدد",,,,"العربية واللغة الانجليزية",,,,"HR Services",,,"summary=empty; audience=empty; duration=empty; languages=ar; channels=empty; cost=empty; payment=empty; categories=ar; beneficiaries=empty; tags=empty"
